Sex,Agemos,P5,P50,P95
0,36,15.45,16.5,17.7
0,37,15.356,16.5,17.7
0,38,15.262,16.5,17.7
0,39,15.18,16.489,17.7
0,40,15.108,16.478,17.689
0,41,15.047,16.4468,17.678
0,42,14.996,16.458,17.668
0,43,14.954,16.437,17.647
0,44,14.921,16.417,17.626
0,45,14.886,16.398,17.606
0,46,14.858,16.38,17.577
0,47,14.837,16.362,17.548
0,48,14.824,16.346,17.521
0,49,14.816,16.332,17.484
0,50,14.803,16.318,17.45
0,51,14.796,16.294,17.417
0,52,14.782,16.272,17.386
0,53,14.773,16.252,17.347
0,54,14.768,16.233,17.31
0,55,14.756,16.215,17.276
0,56,14.747,16.188,17.244
0,57,14.731,16.163,17.216
0,58,14.719,16.14,17.179
0,59,14.698,16.119,17.145
0,60,14.681,16.089,17.114
0,61,14.666,16.061,17.075
0,62,14.643,16.035,17.039
0,63,14.624,16,17.006
0,64,14.607,15.968,16.977
0,65,14.592,15.939,16.951
0,66,14.569,15.912,16.928
0,67,14.549,15.888,16.908
0,68,14.532,15.855,16.891
0,69,14.516,15.825,16.877
0,70,14.493,15.798,16.865
0,71,14.471,15.774,16.856
0,72,14.453,15.752,16.85
0,73,14.436,15.733,16.834
0,74,14.422,15.717,16.821
0,75,14.399,15.703,16.81
0,76,14.378,15.68,16.801
0,77,14.36,15.66,16.794
0,78,14.344,15.643,16.799
0,79,14.33,15.627,16.806
0,80,14.318,15.614,16.815
0,81,14.298,15.604,16.835
0,82,14.279,15.595,16.856
0,83,14.263,15.588,16.888
0,84,14.248,15.583,16.92
0,85,14.236,15.58,16.963
0,86,14.225,15.578,17.005
0,87,14.216,15.578,17.056
0,88,14.209,15.578,17.106
0,89,14.215,15.58,17.154
0,90,14.222,15.583,17.211
0,91,14.23,15.598,17.265
0,92,14.238,15.614,17.316
0,93,14.259,15.629,17.375
0,94,14.28,15.645,17.43
0,95,14.301,15.661,17.493
0,96,14.322,15.677,17.551
0,97,14.324,15.703,17.617
0,98,14.363,15.729,17.677
0,99,14.393,15.753,17.745
0,100,14.423,15.777,17.807
0,101,14.451,15.811,17.875
0,102,14.489,15.843,17.937
0,103,14.526,15.874,18.005
0,104,14.56,15.914,18.068
0,105,14.593,15.951,18.136
0,106,14.634,15.998,18.208
0,107,14.673,16.042,18.286
0,108,14.709,16.083,18.357
0,109,14.754,16.132,18.433
0,110,14.796,16.179,18.502
0,111,14.835,16.221,18.565
0,112,14.87,16.261,18.632
0,113,14.903,16.308,18.692
0,114,14.932,16.351,18.745
0,115,14.958,16.391,18.803
0,116,14.981,16.426,18.854
0,117,15.001,16.469,18.909
0,118,15.017,16.508,18.958
0,119,15.042,16.544,19.012
0,120,15.065,16.575,19.059
0,121,15.084,16.613,19.112
0,122,15.1,16.648,19.158
0,123,15.125,16.69,19.209
0,124,15.148,16.727,19.254
0,125,15.178,16.772,19.304
0,126,15.206,16.813,19.348
0,127,15.242,16.86,19.397
0,128,15.275,16.904,19.441
0,129,15.316,16.954,19.49
0,130,15.365,17,19.544
0,131,15.422,17.052,19.604
0,132,15.474,17.099,19.658
0,133,15.534,17.153,19.717
0,134,15.59,17.202,19.77
0,135,15.652,17.258,19.828
0,136,15.71,17.308,19.891
0,137,15.763,17.354,19.948
0,138,15.822,17.405,20.011
0,139,15.876,17.451,20.067
0,140,15.926,17.493,20.127
0,141,15.981,17.54,20.182
0,142,16.031,17.583,20.242
0,143,16.076,17.631,20.306
0,144,16.126,17.674,20.364
0,145,16.172,17.724,20.427
0,146,16.212,17.768,20.483
0,147,16.248,17.819,20.545
0,148,16.289,17.864,20.599
0,149,16.326,17.915,20.659
0,150,16.368,17.961,20.712
0,151,16.406,18.013,20.77
0,152,16.439,18.06,20.821
0,153,16.479,18.113,20.877
0,154,16.514,18.171,20.927
0,155,16.544,18.235,20.982
0,156,16.581,18.294,21.031
0,157,16.614,18.358,21.084
0,158,16.653,18.416,21.132
0,159,16.688,18.479,21.185
0,160,16.718,18.536,21.242
0,161,16.745,18.599,21.294
0,162,16.778,18.655,21.351
0,163,16.807,18.716,21.401
0,164,16.844,18.772,21.457
0,165,16.876,18.832,21.507
0,166,16.916,18.897,21.562
0,167,16.962,18.956,21.621
0,168,17.004,19.019,21.675
0,169,17.054,19.087,21.734
0,170,17.098,19.149,21.787
0,171,17.15,19.215,21.844
0,172,17.197,19.275,21.896
0,173,17.25,19.339,21.953
0,174,17.299,19.397,22.003
0,175,17.354,19.459,22.048
0,176,17.404,19.514,22.098
0,177,17.449,19.574,22.142
0,178,17.5,19.627,22.191
0,179,17.546,19.685,22.235
0,180,17.588,19.736,22.273
0,181,17.635,19.793,22.316
0,182,17.678,19.842,22.354
0,183,17.715,19.886,22.387
0,184,17.759,19.934,22.415
0,185,17.798,19.976,22.437
0,186,17.843,20.013,22.467
0,187,17.883,20.055,22.491
0,188,17.929,20.091,22.512
0,189,17.971,20.121,22.539
0,190,18.019,20.158,22.562
0,191,18.073,20.189,22.581
0,192,18.122,20.216,22.597
0,193,18.177,20.248,22.62
0,194,18.227,20.276,22.64
0,195,18.283,20.311,22.656
0,196,18.334,20.341,22.68
0,197,18.39,20.378,22.701
0,198,18.441,20.41,22.719
0,199,18.497,20.449,22.745
0,200,18.559,20.495,22.768
0,201,18.616,20.536,22.788
0,202,18.678,20.584,22.816
0,203,18.745,20.627,22.841
0,204,18.806,20.677,22.874
