Sex,Agemos,P5,P50,P95
0,0,46,49.7,54.1
0,1,49.7,54.1,58.4
0,2,53.1,56.8,62.1
0,3,56.2,60.7,64.6
0,4,58.8,63.1,67.3
0,5,61.3,65,69.7
0,6,63.6,67.2,71.8
0,7,64.7,69.4,73.2
0,8,65.8,71.2,75
0,9,67.6,72,76.2
0,10,68.5,72.8,77.5
0,11,69.1,73.7,78.2
0,12,69.6,74.7,79.5
0,13,70.4,75.3,80.5
0,14,71.2,75.9,81.5
0,15,72.1,76.6,82.5
0,16,72.7,77.3,83.4
0,17,73.3,78.2,84.3
0,18,74,78.9,85.3
0,19,74.7,79.8,86.6
0,20,75.4,80.7,87.9
0,21,76.1,81.6,89.2
0,22,76.7,82.7,90.1
0,23,77.3,83.9,91
0,24,78.1,85.3,92.2
0,25,78.5,85.7,92.6
0,26,78.9,86.1,93.1
0,27,79.3,86.6,93.7
0,28,79.7,87.1,94.4
0,29,80.2,87.6,95.1
0,30,80.6,88.1,95.8
0,31,81.1,88.6,96.5
0,32,81.6,89.3,97.3
0,33,82.1,89.9,98.2
0,34,82.6,90.6,99.1
0,35,83.1,91.3,100
0,36,83.6,92,100.9
0,37,84.1,92.7,101.8
0,38,84.6,93.3,102.6
0,39,85.1,94,103.4
0,40,85.6,94.6,104.2
0,41,86.1,95.2,104.9
0,42,86.6,95.8,105.7
0,43,87,96.3,106.4
0,44,87.5,96.9,107.1
0,45,87.9,97.5,107.9
0,46,88.3,98,108.6
0,47,88.8,98.6,109.2
0,48,89.2,99.1,109.9
0,49,89.5,99.7,110.5
0,50,89.9,100.3,111.1
0,51,90.2,100.8,111.6
0,52,90.6,101.3,112.2
0,53,90.9,101.8,112.7
0,54,91.2,102.4,113.3
0,55,91.5,103,113.8
0,56,91.8,103.6,114.3
0,57,92.1,104.2,114.8
0,58,92.5,104.8,115.4
0,59,92.9,105.5,115.9
0,60,93.2,106.1,116.5
0,61,93.6,106.7,117.1
0,62,94,107.2,117.6
0,63,94.3,107.8,118.1
0,64,94.7,108.3,118.6
0,65,95.1,108.9,119.1
0,66,95.6,109.4,119.6
0,67,96,109.9,120.1
0,68,96.4,110.4,120.6
0,69,96.9,111,121.1
0,70,97.4,111.5,121.6
0,71,98,112,122.1
0,72,98.6,112.5,122.5
0,73,99.2,113,123
0,74,99.8,113.4,123.5
0,75,100.4,113.9,123.9
0,76,101,114.4,124.3
0,77,101.6,114.9,124.7
0,78,102.2,115.3,125.1
0,79,102.8,115.7,125.5
0,80,103.3,116.1,125.9
0,81,103.9,116.6,126.2
0,82,104.4,117,126.6
0,83,104.9,117.4,127
0,84,105.4,117.7,127.4
0,85,105.9,118.1,127.8
0,86,106.3,118.5,128.2
0,87,106.8,118.9,128.6
0,88,107.3,119.3,129
0,89,107.8,119.7,129.4
0,90,108.3,120.2,129.9
0,91,108.7,120.6,130.3
0,92,109.2,121,130.8
0,93,109.7,121.5,131.2
0,94,110.2,121.9,131.7
0,95,110.7,122.4,132.2
0,96,111.2,122.8,132.6
0,97,111.6,123.3,133.1
0,98,112.1,123.8,133.6
