Sex,Agemos,P5,P50,P95
1,36,15.4,16.2,17.2
1,37,15.4,16.2,17.2
1,38,15.4,16.2,17.2
1,39,15.389,16.2,17.2
1,40,15.378,16.2,17.2
1,41,15.368,16.2,17.2
1,42,15.358,16.2,17.2
1,43,15.348,16.189,17.2
1,44,15.339,16.178,17.2
1,45,15.33,16.168,17.195
1,46,15.322,16.159,17.189
1,47,15.315,16.148,17.184
1,48,15.308,16.139,17.179
1,49,15.301,16.119,17.157
1,50,15.285,16.1,17.137
1,51,15.269,16.082,17.106
1,52,15.254,16.065,17.076
1,53,15.229,16.038,17.047
1,54,15.205,16.013,17.02
1,55,15.183,15.989,16.994
1,56,15.151,15.966,16.97
1,57,15.121,15.934,16.936
1,58,15.092,15.904,16.905
1,59,15.055,15.876,16.876
1,60,15.02,15.85,16.849
1,61,14.987,15.815,16.824
1,62,14.945,15.782,16.801
1,63,14.907,15.752,16.781
1,64,14.871,15.725,16.763
1,65,14.827,15.7,16.747
1,66,14.787,15.678,16.734
1,67,14.749,15.647,16.722
1,68,14.715,15.618,16.712
1,69,14.684,15.593,16.704
1,70,14.646,15.57,16.698
1,71,14.611,15.55,16.694
1,72,14.579,15.532,16.691
1,73,14.54,15.506,16.689
1,74,14.505,15.482,16.7
1,75,14.473,15.461,16.712
1,76,14.445,15.442,16.724
1,77,14.42,15.426,16.737
1,78,14.398,15.413,16.75
1,79,14.38,15.401,16.774
1,80,14.364,15.392,16.799
1,81,14.352,15.385,16.822
1,82,14.342,15.379,16.846
1,83,14.335,15.387,16.868
1,84,14.341,15.395,16.89
1,85,14.35,15.405,16.921
1,86,14.359,15.416,16.951
1,87,14.371,15.439,16.991
1,88,14.383,15.462,17.04
1,89,14.397,15.485,17.086
1,90,14.411,15.519,17.141
1,91,14.436,15.552,17.205
1,92,14.462,15.584,17.265
1,93,14.487,15.627,17.332
1,94,14.512,15.668,17.396
1,95,14.537,15.718,17.466
1,96,14.571,15.766,17.532
1,97,14.605,15.823,17.604
1,98,14.637,15.877,17.671
1,99,14.667,15.927,17.744
1,100,14.707,15.986,17.811
1,101,14.745,16.041,17.884
1,102,14.781,16.092,17.951
1,103,14.825,16.15,18.023
1,104,14.867,16.204,18.099
1,105,14.906,16.254,18.17
1,106,14.953,16.311,18.244
1,107,14.997,16.362,18.323
1,108,15.037,16.409,18.407
1,109,15.086,16.463,18.494
1,110,15.131,16.511,18.574
1,111,15.172,16.555,18.657
1,112,15.22,16.594,18.744
1,113,15.264,16.639,18.823
1,114,15.305,16.68,18.905
1,115,15.341,16.715,18.99
1,116,15.374,16.746,19.067
1,117,15.413,16.784,19.147
1,118,15.449,16.817,19.219
1,119,15.48,16.845,19.294
1,120,15.508,16.87,19.361
1,121,15.543,16.901,19.43
1,122,15.574,16.928,19.503
1,123,15.604,16.952,19.568
1,124,15.625,16.982,19.635
1,125,15.656,17.009,19.706
1,126,15.683,17.032,19.769
1,127,15.707,17.062,19.835
1,128,15.728,17.089,19.894
1,129,15.756,17.112,19.956
1,130,15.781,17.143,20.021
1,131,15.802,17.171,20.079
1,132,15.821,17.195,20.141
1,133,15.847,17.226,20.206
1,134,15.871,17.255,20.263
1,135,15.891,17.28,20.325
1,136,15.909,17.312,20.379
1,137,15.923,17.342,20.427
1,138,15.935,17.368,20.478
1,139,15.956,17.402,20.523
1,140,15.974,17.432,20.561
1,141,15.989,17.46,20.604
1,142,16.002,17.495,20.64
1,143,16.013,17.526,20.682
1,144,16.021,17.554,20.718
1,145,16.039,17.59,20.759
1,146,16.054,17.623,20.794
1,147,16.067,17.663,20.835
1,148,16.079,17.699,20.871
1,149,16.099,17.743,20.913
1,150,16.117,17.783,20.949
1,151,16.134,17.831,20.991
1,152,16.148,17.874,21.029
1,153,16.172,17.925,21.061
1,154,16.193,17.971,21.099
1,155,16.213,18.024,21.133
1,156,16.23,18.073,21.162
1,157,16.256,18.128,21.198
1,158,16.281,18.178,21.229
1,159,16.303,18.235,21.256
1,160,16.333,18.287,21.279
1,161,16.362,18.345,21.308
1,162,16.388,18.398,21.334
1,163,16.422,18.457,21.356
1,164,16.454,18.51,21.374
1,165,16.495,18.569,21.399
1,166,16.532,18.623,21.421
1,167,16.577,18.682,21.44
1,168,16.619,18.747,21.455
1,169,16.669,18.817,21.479
1,170,16.716,18.881,21.499
1,171,16.758,18.939,21.516
1,172,16.808,19.002,21.531
1,173,16.854,19.058,21.553
1,174,16.896,19.109,21.573
1,175,16.944,19.165,21.59
1,176,16.989,19.214,21.605
1,177,17.029,19.258,21.628
1,178,17.076,19.307,21.649
1,179,17.119,19.35,21.667
1,180,17.157,19.387,21.682
1,181,17.202,19.43,21.706
1,182,17.243,19.467,21.728
1,183,17.279,19.499,21.759
1,184,17.322,19.537,21.786
1,185,17.361,19.57,21.822
1,186,17.395,19.598,21.856
1,187,17.436,19.632,21.886
1,188,17.476,19.662,21.925
1,189,17.515,19.698,21.96
1,190,17.554,19.729,22.004
1,191,17.6,19.768,22.044
1,192,17.641,19.801,22.081
1,193,17.688,19.842,22.125
1,194,17.731,19.878,22.166
1,195,17.77,19.91,22.203
1,196,17.815,19.937,22.236
1,197,17.856,19.961,22.266
1,198,17.903,19.991,22.292
1,199,17.956,20.018,22.325
1,200,18.005,20.041,22.355
1,201,18.06,20.06,22.382
1,202,18.11,20.075,22.405
1,203,18.166,20.099,22.425
1,204,18.216,20.119,22.441
