Sex,Agemos,P5,P50,P95
1,0,46.3,50.1,54.4
1,1,50,54.5,58.8
1,2,52.5,57.2,62.4
1,3,56.5,61,65
1,4,59.2,63.5,68
1,5,61.6,65.3,70.1
1,6,63.9,67.5,72.1
1,7,65,69.7,73.6
1,8,66.2,71.5,75.3
1,9,68,72.3,76.7
1,10,68.9,73.1,77.8
1,11,69.5,74,78.6
1,12,70,74.9,79.8
1,13,70.8,75.6,80.8
1,14,71.6,76.3,81.9
1,15,72.4,77.1,83
1,16,73,78,83.9
1,17,73.6,78.9,85
1,18,74.2,80,86
1,19,75.1,81.1,87.4
1,20,76,82.3,88.8
1,21,76.9,83.4,90.1
1,22,77.5,84.5,91
1,23,78.2,85.6,91.9
1,24,79.1,86.9,93.1
1,25,79.5,87.3,93.6
1,26,79.9,87.7,94.1
1,27,80.4,88.1,94.7
1,28,80.8,88.5,95.4
1,29,81.2,88.9,96.1
1,30,81.6,89.3,96.9
1,31,82,89.8,97.7
1,32,82.4,90.4,98.5
1,33,82.8,91,99.4
1,34,83.1,91.7,100.3
1,35,83.5,92.3,101.2
1,36,83.9,93,102.2
1,37,84.3,93.6,103.2
1,38,84.7,94.2,104.1
1,39,85.1,94.8,105.1
1,40,85.5,95.4,106
1,41,86,96,106.9
1,42,86.4,96.5,107.8
1,43,86.9,97.1,108.6
1,44,87.4,97.7,109.4
1,45,87.8,98.3,110.2
1,46,88.3,98.9,110.9
1,47,88.8,99.5,111.6
1,48,89.3,100.1,112.3
1,49,89.8,100.7,112.9
1,50,90.4,101.3,113.5
1,51,90.9,101.9,114.1
1,52,91.4,102.4,114.6
1,53,91.9,103,115.2
1,54,92.4,103.6,115.7
1,55,93,104.2,116.2
1,56,93.5,104.8,116.7
1,57,94,105.3,117.2
1,58,94.5,106,117.6
1,59,95,106.6,118.1
1,60,95.4,107.3,118.5
1,61,95.9,107.9,119
1,62,96.3,108.5,119.4
1,63,96.7,109,119.8
1,64,97.1,109.6,120.2
1,65,97.6,110.2,120.6
1,66,98,110.8,121
1,67,98.3,111.3,121.4
1,68,98.7,111.8,121.8
1,69,99.1,112.4,122.3
1,70,99.4,112.9,122.7
1,71,99.7,113.4,123.1
1,72,100.1,113.9,123.5
1,73,100.5,114.4,124
1,74,100.9,114.9,124.4
1,75,101.3,115.4,124.8
1,76,101.8,115.8,125.2
1,77,102.2,116.2,125.7
1,78,102.7,116.6,126.1
1,79,103.1,117.1,126.5
1,80,103.6,117.5,126.9
1,81,104.1,117.9,127.3
1,82,104.5,118.3,127.7
1,83,105,118.6,128.1
1,84,105.4,119,128.5
1,85,105.9,119.4,128.8
1,86,106.4,119.8,129.2
1,87,106.9,120.2,129.6
1,88,107.4,120.6,130
1,89,108,121,130.4
1,90,108.5,121.4,130.9
1,91,109,121.8,131.3
1,92,109.6,122.2,131.8
1,93,110.1,122.6,132.2
1,94,110.7,123.1,132.7
1,95,111.3,123.5,133.2
1,96,111.9,124,133.6
1,97,112.5,124.4,134.1
1,98,113.1,124.9,134.6
1,99,113.6,125.4,135.1
1,100,114.1,125.8,135.6
1,101,114.5,126.2,136.1
1,102,115,126.7,136.6
1,103,115.4,127.1,137
1,104,115.8,127.5,137.5
1,105,116.2,127.9,137.9
1,106,116.5,128.3,138.4
1,107,116.9,128.7,138.8
1,108,117.2,129.2,139.3
1,109,117.5,129.6,139.7
1,110,117.9,130,140.1
1,111,118.2,130.5,140.5
1,112,118.5,130.9,140.8
1,113,118.9,131.4,141.3
1,114,119.3,131.8,141.7
1,115,119.7,132.2,142.1
1,116,120,132.6,142.6
1,117,120.4,133,143
1,118,120.8,133.4,143.4
1,119,121.3,133.8,143.8
1,120,121.7,134.2,144.2
1,121,122.1,134.6,144.6
1,122,122.6,135,145
1,123,123,135.5,145.4
1,124,123.5,135.9,145.8
1,125,124,136.4,146.2
1,126,124.4,136.8,146.6
1,127,124.8,137.2,147
1,128,125.3,137.6,147.4
1,129,125.6,138,147.7
1,130,126.1,138.4,148.1
1,131,126.5,138.8,148.5
1,132,126.9,139.3,148.9
1,133,127.3,139.7,149.3
1,134,127.8,140.1,149.8
1,135,128.2,140.5,150.2
1,136,128.6,140.9,150.6
1,137,129,141.3,151.1
1,138,129.4,141.7,151.6
1,139,129.7,142,152.1
1,140,130.1,142.4,152.5
1,141,130.4,142.7,153
1,142,130.8,143.1,153.5
1,143,131.1,143.4,154
1,144,131.4,143.7,154.5
1,145,131.8,144,155
1,146,132.1,144.4,155.6
1,147,132.5,144.7,156.2
1,148,132.9,145.1,156.7
1,149,133.3,145.4,157.3
1,150,133.7,146,157.9
1,151,134,146.5,158.4
1,152,134.4,147,159.1
1,153,134.7,147.6,159.7
1,154,135.1,148.1,160.3
1,155,135.4,148.6,160.9
1,156,135.8,149.2,161.5
1,157,136.2,149.7,162.1
1,158,136.6,150.3,162.7
1,159,137,150.9,163.2
1,160,137.4,151.5,163.7
1,161,137.8,152,164.3
1,162,138.2,152.6,164.8
1,163,138.6,153.1,165.4
1,164,139,153.7,165.9
1,165,139.3,154.3,166.5
1,166,139.7,154.9,167.1
1,167,140.1,155.4,167.8
1,168,140.5,156,168.5
1,169,140.9,156.5,169.1
1,170,141.4,157.1,169.7
1,171,141.8,157.6,170.4
1,172,142.3,158.2,170.9
1,173,142.7,158.7,171.5
1,174,143.1,159.2,172
1,175,143.5,159.7,172.5
1,176,143.9,160.1,173
1,177,144.4,160.5,173.5
1,178,144.8,160.9,173.9
1,179,145.2,161.4,174.4
1,180,145.7,161.8,174.8
1,181,146.1,162.2,175.3
1,182,146.6,162.6,175.7
1,183,147,162.9,176.1
1,184,147.5,163.3,176.4
1,185,148,163.7,176.8
1,186,148.4,164.1,177.1
1,187,148.9,164.5,177.4
1,188,149.3,164.9,177.7
1,189,149.8,165.2,177.9
1,190,150.2,165.5,178.1
1,191,150.7,165.9,178.3
1,192,151.2,166.2,178.6
1,193,151.7,166.4,178.7
1,194,152.2,166.7,178.9
1,195,152.7,166.9,179.1
1,196,153.2,167.1,179.2
1,197,153.8,167.4,179.3
1,198,154.3,167.6,179.4
1,199,154.8,167.8,179.5
1,200,155.3,168.1,179.6
1,201,155.8,168.3,179.6
1,202,156.2,168.4,179.7
1,203,156.7,168.6,179.8
1,204,157.1,168.9,179.9
