trait,abs,total,perc,total_norm,perc_total,color_map,color_rgb
born at term,72,75,96,72/75,100,#fde725,1
physiological delivery,34,43,79.1,34/43,100,#fde725,1
normal weight,71,77,92.2,71/77,100,#fde725,1
normal length,69,72,95.8,69/72,100,#fde725,1
normal Apgar score,40,43,93,40/43,100,#fde725,1
short stature,93,93,100,93/93,100,#440154 ,2
senile skin,31,82,37.8,31/82,100,#440154 ,2
skull anomalies,36,82,43.9,36/82,100,#440154 ,2
underweight,43,82,52.4,43/82,100,#440154 ,2
muscle hypotension,27,82,32.9,27/82,100,#440154 ,2
fingers anomaly,39,82,47.6,39/82,100,#440154 ,2
high-pitched voice,19,82,23.2,19/82,100,#440154 ,2
ear dysplasia,18,82,22,18/82,100,#440154 ,2
minor heart anomalies,20,49,40.8,20/49,100,#bddf26 ,3
bundle branch block,17,49,34.7,17/49,100,#bddf26 ,3
minor arrhythmias ,15,49,30.6,15/49,100,#bddf26 ,3
recurrent bronchitis,24,39,61.5,24/39,100,#482475 ,4
pneumonia,10,39,25.6,10/39,100,#482475 ,4
lung atelectasis,4,39,10.3,4/39,100,#482475 ,4
bronchial asthma,3,39,7.7,3/39,100,#482475 ,4
bronchiectasis,2,39,5.1,2/39,100,#482475 ,4
pulmonary hypertension,1,39,2.6,1/39,100,#482475 ,4
sinusitis,17,48,35.4,17/48,100,#482475 ,4
tonsillitis,12,48,25,12/48,100,#482475 ,4
rhinitis,17,48,35.4,17/48,100,#482475 ,4
otitis media,11,48,22.9,11/48,100,#482475 ,4
hearing loss,9,48,18.8,9/48,100,#482475 ,4
immunodeficiency,8,29,27.6,8/29,100,#7ad151,5
Pelger-Huet anomaly,28,28,100,28/28,100,#7ad151,5
color perception defect,12,12,100,12/12,100,#414487,6
optic atrophy,93,93,100,93/93,100,#414487,6
myopia,34,88,38.6,34/88,100,#414487,6
astigmatism,33,88,37.5,33/88,100,#414487,6
angioretinopathy,30,88,34.1,30/88,100,#414487,6
strabismus,18,88,20.5,18/88,100,#414487,6
macular degeneration,11,88,12.5,11/88,100,#414487,6
amblyopia,5,88,5.7,5/88,100,#414487,6
vitreous body destruction,2,88,2.3,2/88,100,#414487,6
pterygium,2,88,2.3,2/88,100,#414487,6
cataracts,1,88,1.1,1/88,100,#414487,6
glaucoma,1,88,1.1,1/88,100,#414487,6
lagophthalmos,1,88,1.1,1/88,100,#414487,6
irregular ossification,16,71,22.5,16/71,100,#44bf70,7
dysplastic bone changes,9,71,12.7,9/71,100,#44bf70,7
osteoporosis,8,71,11.3,8/71,100,#44bf70,7
isolated trauma,7,71,9.9,7/71,100,#44bf70,7
posture disorders,26,71,36.6,26/71,100,#44bf70,7
residual encephalopathy,46,66,69.7,46/66,100,#355f8d,8
intracranial hypertension,39,66,59.1,39/66,100,#355f8d,8
impaired concentration,16,66,24.2,16/66,100,#355f8d,8
speech disorders,10,66,15.2,10/66,100,#355f8d,8
myotonic syndrome,7,66,10.6,7/66,100,#355f8d,8
mental retardation,7,66,10.6,7/66,100,#355f8d,8
seizures,6,66,9.1,6/66,100,#355f8d,8
intellectual impairment,3,66,4.5,3/66,100,#355f8d,8
MRI empty sella turcica syndrome,4,33,12.1,4/33,100,#355f8d,8
MRI cerebellar structures atrophy,3,33,9.1,3/33,100,#355f8d,8
elevated ALT/AST,10,83,12,10/83,100,#22a884,9
T2DM,1,51,2,1/51,100,#22a884,9
U/S gallbladder anomalies,26,60,43.3,26/60,100,#22a884,9
U/S kidney changes,16,60,26.7,16/60,100,#22a884,9
U/S pancreas changes,12,60,20,12/60,100,#22a884,9
U/S liver changes,10,60,16.7,10/60,100,#22a884,9
hypothyroidism,4,51,7.8,4/51,100,#2a788e,10
autoimmune thyroiditis,1,51,2,1/51,100,#2a788e,10
U/S thyroid abnormalities,20,45,44.4,20/45,100,#2a788e,10
U/S submandibular lymphadenitis,5,45,11.1,5/45,100,#2a788e,10
U/S genital organs abnormalities,12,20,60,12/20,100,#2a788e,10
iron deficiency,9,27,33.3,9/27,100,#21918c,11
hypochromic anemia,2,27,7.4,2/27,100,#21918c,11
normochromic anemia,1,27,3.7,1/27,100,#21918c,11
