ISO3,Country,NBAS patients,NBAS1
AUS ,Australia,5,b) 5-7
CAN ,Canada,2,a) 1-3
CHN ,China,37,d) 33-37
HRV ,Croatia,3,a) 1-3
FIN ,Finland,1,a) 1-3
FRA ,France,6,b) 5-7
DEU ,Germany,33,d) 33-37
GBR ,Great Britain,10,c) 9-13
IND ,India,3,a) 1-3
IRL ,Ireland,1,a) 1-3
ISR ,Israel,1,a) 1-3
ITA ,Italy,5,b) 5-7
JPN ,Japan,2,a) 1-3
KOR ,Korea,13,c) 9-13
LBN ,Lebanon,3,a) 1-3
PAK ,Pakistan,1,a) 1-3
POL ,Poland,2,a) 1-3
PRT ,Portugal,2,a) 1-3
RUS ,Russia,3,a) 1-3
SAU ,Saudi Arabia,3,a) 1-3
SVN ,Slovenia,1,a) 1-3
ESP ,Spain,1,a) 1-3
CHE ,Switzerland,2,a) 1-3
TUR ,Turkey,7,b) 5-7
USA ,USA,9,c) 9-13
